"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SC_Ythdc2_iKO_1","SC_Ythdc2_iKO_2","SC_Ythdc2_iKO_3","SC_Ythdc2_HT_1","SC_Ythdc2_HT_2","SC_Ythdc2_HT_3","mgi_symbol","entrezgene_id","chromosome_name"
"ENSMUSG00000000028",34.9990747137922,-0.0603655326600425,0.337329075830047,-0.178951466046929,0.85797581090813,0.945002363617074,38.4648347849038,31.1689282268797,33.7336206729093,28.4659996878741,37.5939846877891,40.5670802223971,"Cdc45",12544,"16"
"ENSMUSG00000000049",38.092702981577,0.195468189329469,0.382609593929661,0.510881568132879,0.609433988378633,0.823845831999069,60.5616547677209,24.2424997320175,35.7179513007275,41.9498942768671,42.1786169667878,23.9056008453412,"Apoh",11818,"11"
"ENSMUSG00000000085",43.262835391127,-0.0210314733748129,0.31981346923545,-0.0657616873519775,0.947567559241701,0.981886904810077,32.7360296041735,47.3305947148914,49.6082656954549,37.4552627472028,50.4309550689854,42.0159045160542,"Scmh1",29871,"4"
"ENSMUSG00000000088",29.2710417878251,0.40387944853219,0.362808371482323,1.11320322318381,0.265621158695659,0.55376820511964,31.9176288640691,34.6321424743107,33.7336206729093,25.4695786680979,20.1723820275942,29.7008980199693,"Cox5a",12858,"9"
"ENSMUSG00000000120",8.84835578528542,0.104164630711803,0.640097129729265,0.162732538350642,0.870729026567885,0.949470485875649,9.0024081411477,3.46321424743107,14.8824797086365,8.98926305932866,7.33541164639788,9.41735790877076,"Ngfr",18053,"11"
"ENSMUSG00000000127",51.4973276092736,-0.247490348210647,0.318924158093394,-0.776016309614814,0.437739356002015,0.708526154044573,48.2856436661558,50.7938089623224,41.6709431841821,68.9176834548531,34.8432053203899,64.4726810677383,"Fer",14158,"17"
"ENSMUSG00000000131",167.49783426794,0.275876749569676,0.230929408295256,1.19463671433719,0.232228998256694,0.513036373175135,148.130533958885,166.234283876692,236.135344710365,149.821050988811,164.129835588152,140.535956484733,"Xpo6",74204,"7"
"ENSMUSG00000000134",28.9940847799525,2.33245073244351,0.461054166331313,5.05895164336812,4.2156774619989e-07,1.99482614672971e-05,37.6464340447995,71.5730944469089,37.7022819285457,4.49463152966433,7.33541164639788,15.2126550833989,"Tfe3",209446,"X"
"ENSMUSG00000000148",52.2624077007843,0.223042479454305,0.288286116404744,0.773684429329787,0.43911743009646,0.70907753543467,54.0144488468862,57.7202374571846,57.5455882067277,43.4481047867552,55.9325138037838,44.9135531033683,"Brat1",231841,"5"
"ENSMUSG00000000149",495.192498163523,0.857524684124957,0.167183957405913,5.1292282909833,2.90932354933374e-07,1.43173630509812e-05,617.07415803867,669.554754503341,628.040643704459,353.577680333594,353.016685482898,349.891066918175,"Gna12",14673,"5"
