"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002763","BP","GO:0002763","positive regulation of myeloid leukocyte differentiation","4/75","75/28891",4.42742250154548e-05,0.0275149924240256,0.0232880750581602,"Gnas/Tesc/Dlk1/Jun",4
"GO:0045669","BP","GO:0045669","positive regulation of osteoblast differentiation","4/75","77/28891",4.91017610877501e-05,0.0275149924240256,0.0232880750581602,"Vegfa/Gnas/Jund/Cebpd",4
"GO:0045667","BP","GO:0045667","regulation of osteoblast differentiation","5/75","162/28891",6.55187524777941e-05,0.0275149924240256,0.0232880750581602,"Vegfa/Gnas/Dlk1/Jund/Cebpd",5
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","6/75","272/28891",7.7018873125334e-05,0.0275149924240256,0.0232880750581602,"Cbfa2t3/Vegfa/Gnas/Tesc/Dlk1/Jun",6
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process","6/75","310/28891",0.000157272465260683,0.0418567044261384,0.0354265797838997,"Bbc3/Btg2/Vegfa/Hrk/Adnp/Jun",6
"GO:0042771","BP","GO:0042771","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","3/75","45/28891",0.000220442781729764,0.0418567044261384,0.0354265797838997,"Bbc3/Phlda3/Bcl3",3
"GO:0045639","BP","GO:0045639","positive regulation of myeloid cell differentiation","4/75","116/28891",0.000240697844933436,0.0418567044261384,0.0354265797838997,"Gnas/Tesc/Dlk1/Jun",4
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","7/75","480/28891",0.000250703349627604,0.0418567044261384,0.0354265797838997,"Cbfa2t3/Vegfa/Gnas/Tesc/Dlk1/Jun/Hba-a1",7
"GO:0001503","BP","GO:0001503","ossification","7/75","484/28891",0.000263618152438941,0.0418567044261384,0.0354265797838997,"Vegfa/Clec3b/Gnas/Scx/Dlk1/Jund/Cebpd",7
"GO:0001649","BP","GO:0001649","osteoblast differentiation","5/75","230/28891",0.000335845639624937,0.0476052004383931,0.0402919784197368,"Vegfa/Gnas/Dlk1/Jund/Cebpd",5
"GO:0045773","BP","GO:0045773","positive regulation of axon extension","3/75","54/28891",0.000378926706460323,0.0476052004383931,0.0402919784197368,"Tnfrsf12a/Vegfa/Adnp",3
"GO:0051402","BP","GO:0051402","neuron apoptotic process","6/75","369/28891",0.000399763754556135,0.0476052004383931,0.0402919784197368,"Bbc3/Btg2/Vegfa/Hrk/Adnp/Jun",6
"GO:0009791","BP","GO:0009791","post-embryonic development","4/75","137/28891",0.000453109794130492,0.0498072227548056,0.0421557209276061,"Meg3/Vegfa/Gnas/Dlk1",4
"GO:0042788","CC","GO:0042788","polysomal ribosome","3/75","37/28573",0.00012656832885931,0.0175929977114441,0.0143888205440058,"Rps28/Rpl36a/Rpl39",3
"GO:0000813","CC","GO:0000813","ESCRT I complex","2/75","11/28573",0.000368214320536037,0.0254617860119612,0.020824482311941,"Vps37d/Vps37b",2
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","6/75","396/28573",0.000613973230216643,0.0254617860119612,0.020824482311941,"Angptl2/Bcan/Vegfa/Adamts10/Col11a2/Tnxb",6
"GO:0005912","CC","GO:0005912","adherens junction","4/75","154/28573",0.000732713266531256,0.0254617860119612,0.020824482311941,"Pdlim4/Vegfa/Mpp3/Ccdc85b",4
"GO:0005844","CC","GO:0005844","polysome","3/75","78/28573",0.00114722107405145,0.0318927458586302,0.0260841844205381,"Rps28/Rpl36a/Rpl39",3
"GO:0036452","CC","GO:0036452","ESCRT complex","2/75","26/28573",0.00212104021109681,0.049137431557076,0.0401881303155185,"Vps37d/Vps37b",2
"GO:0010314","MF","GO:0010314","phosphatidylinositol-5-phosphate binding","3/74","22/28407",2.52177922407266e-05,0.00362352913220774,0.00284073193364007,"Sap30l/Phlda3/Obscn",3
"GO:0005539","MF","GO:0005539","glycosaminoglycan binding","6/74","243/28407",4.19716768048349e-05,0.00362352913220774,0.00284073193364007,"Bcan/Vegfa/Col11a2/Clec3b/Tnxb/Pla2g5",6
"GO:0003712","MF","GO:0003712","transcription coregulator activity","8/74","497/28407",4.54836292745742e-05,0.00362352913220774,0.00284073193364007,"Cbfa2t3/Btg2/Sap30l/Trim8/Tle2/Irf2bp2/Bcl3/Jund",8
"GO:0008201","MF","GO:0008201","heparin binding","5/74","179/28407",0.000106447733113661,0.00636025205354126,0.00498623591953466,"Vegfa/Col11a2/Clec3b/Tnxb/Pla2g5",5
"GO:1901681","MF","GO:1901681","sulfur compound binding","6/74","301/28407",0.00013627444778363,0.00651391860405753,0.00510670562220762,"Vegfa/Col11a2/Clec3b/Tnxb/Pla2g5/Naa80",6
"GO:0003714","MF","GO:0003714","transcription corepressor activity","5/74","200/28407",0.000178744182480981,0.00711997660215908,0.00558183587396748,"Cbfa2t3/Btg2/Tle2/Irf2bp2/Bcl3",5
"GO:0032266","MF","GO:0032266","phosphatidylinositol-3-phosphate binding","3/74","47/28407",0.000253391214660313,0.00865150004340212,0.00678250168564447,"Sap30l/Phlda3/Obscn",3
"GO:0016646","MF","GO:0016646","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","2/74","16/28407",0.000784566285573805,0.0234389177815174,0.0183753682673865,"Pycr3/Aldh1l1",2
