geneId,ENSEMBL,SYMBOL
20671,ENSMUSG00000025902,Sox17
21399,ENSMUSG00000033813,Tcea1
319263,ENSMUSG00000051285,Pcmtd1
59014,ENSMUSG00000061024,Rrs1
17864,ENSMUSG00000025912,Mybl1
70675,ENSMUSG00000045210,Vcpip1
17978,ENSMUSG00000005886,Ncoa2
387225,ENSMUSG00000065405,Mir30a
68187,ENSMUSG00000026153,Fam135a
68421,ENSMUSG00000073725,Lmbrd1
213109,ENSMUSG00000048874,Phf3
69668,ENSMUSG00000042111,Ccdc115
214895,ENSMUSG00000001143,Lman2l
211484,ENSMUSG00000060771,Tsga10
107734,ENSMUSG00000026087,Mrpl30
226982,ENSMUSG00000026083,Eif5b
16764,ENSMUSG00000037138,Aff3
68833,ENSMUSG00000026078,Pdcl3
26921,ENSMUSG00000026074,Map4k4
67883,ENSMUSG00000057363,Uxs1
22019,ENSMUSG00000041763,Tpp2
75623,ENSMUSG00000026049,Tex30
227059,ENSMUSG00000025986,Slc39a10
78016,ENSMUSG00000025983,Ccdc150
15510,ENSMUSG00000025980,Hspd1
227120,ENSMUSG00000038349,Plcl1
74018,ENSMUSG00000026024,Als2
241066,ENSMUSG00000026017,Carf
227210,ENSMUSG00000070871,Ccnyl1
15926,ENSMUSG00000025950,Idh1
68691,ENSMUSG00000026004,Kansl1l
16008,ENSMUSG00000039323,Igfbp2
76709,ENSMUSG00000006304,Arpc2
227290,ENSMUSG00000006299,Aamp
56695,ENSMUSG00000026179,Pnkd
319651,ENSMUSG00000033364,Usp37
66821,ENSMUSG00000026172,Bcs1l
67534,ENSMUSG00000033257,Ttll4
245860,ENSMUSG00000033124,Atg9a
13437,ENSMUSG00000026209,Dnpep
20684,ENSMUSG00000026222,Sp100
17975,ENSMUSG00000026234,Ncl
19231,ENSMUSG00000026238,Ptma
98363,ENSMUSG00000026255,Efhd1
15504,ENSMUSG00000081984,Dnajb3
100040766,ENSMUSG00000079429,Mroh2a
171382,ENSMUSG00000036251,Trpm8
12835,ENSMUSG00000048126,Col6a3
55927,ENSMUSG00000067071,Hes6
18627,ENSMUSG00000055866,Per2
208727,ENSMUSG00000026313,Hdac4
23830,ENSMUSG00000026270,Capn10
208760,ENSMUSG00000045091,Aqp12
269224,ENSMUSG00000026274,Pask
110611,ENSMUSG00000034088,Hdlbp
59041,ENSMUSG00000026277,Stk25
21915,ENSMUSG00000026281,Dtymk
66262,ENSMUSG00000026283,Ing5
626049,ENSMUSG00000101583,Gm20753
20479,ENSMUSG00000009907,Vps4b
64143,ENSMUSG00000004451,Ralb
