Gene Name,KO1,WT1,KO3,WT3
0610005C13Rik,0.775181,0.688624,1.910315,1.136081
0610038B21Rik,0.641622,0,0.508657,0.099843
1190007I07Rik,28.756153,2.794893,28.028477,7.432023
1500009L16Rik,41.034615,2.855853,53.355869,6.057228
1600014C10Rik,5.293076,0.19135,11.575323,1.320575
1600014C23Rik,8.448442,1.717867,9.109541,0.768829
1700011M02Rik,172.820206,4.524841,160.936111,9.679933
1700016F12Rik,10.630445,0.103746,8.936695,0.189737
1700018G05Rik,128.662872,4.960776,127.906441,4.072828
1700025G04Rik,5.442687,2.890051,9.26316,1.036869
1700048O20Rik,160.558899,112.981888,90.28318,85.880714
1700086O06Rik,4.558511,3.321064,6.273164,2.935981
1810030O07Rik,6.341843,0.75223,12.285314,1.211004
2010204K13Rik,19.482731,0.673901,26.330467,0.351067
2210016F16Rik,29.967648,2.833448,28.341534,5.378588
2310022B05Rik,25.727692,9.570677,44.368725,10.296109
2410002F23Rik,64.741882,3.0983,113.475555,13.143492
2510009E07Rik,1.272498,0.083586,2.513134,0.342395
2610002M06Rik,3.161749,0.341291,6.290491,0.565603
2610507I01Rik,2.461418,0.246202,10.684381,1.636127
2700038G22Rik,2.824678,0.373792,4.274755,0.209595
2900052L18Rik,1.200165,0,4.018589,0.216639
3010003L21Rik,4.129426,0.289361,9.427461,0.348404
3110021N24Rik,0.193813,0,1.045196,0.049801
4632427E13Rik,0.966786,0.115042,3.894469,0.230067
4833438C02Rik,3.134489,0.175513,5.337791,0.538625
4930426D05Rik,13.600566,0.407481,29.034479,5.720425
4930447C04Rik,115.771729,26.484621,114.010796,24.609907
4930577N17Rik,4.157328,1.406572,6.504057,0.465518
4930597O21Rik,0.755226,0,0.629949,0.127187
4930599N23Rik,18.523855,5.359878,29.337435,6.948252
4932443L11Rik,1.035764,0.636794,1.544168,1.097926
4933401D09Rik,3.320439,0.219831,8.615475,0.935648
4933416E14Rik,2.31063,0.117447,4.676958,0.690303
4933427D06Rik,10.185613,0.909086,15.556247,0.543374
5330438I03Rik,0.027845,0,0.036197,0
5430405H02Rik,12.801078,8.343368,9.380172,9.212442
5530601H04Rik,3.944016,0.24725,3.973159,0.629536
5730409E04Rik,4.753644,0.195998,8.114224,0.678867
5830432E09Rik,0.141191,0,1.231458,0.058622
5830462I19Rik,0.464902,0.157217,1.509032,0.172024
6030458C11Rik,21.094015,2.468851,24.29674,4.485083
6330537M06Rik,3.202044,0.169533,4.291335,1.000561
6330549D23Rik,0.858626,0.470511,1.718149,0.307054
6430548M08Rik,6.400134,0.924898,17.713627,1.90716
8030474K03Rik,33.983444,2.71257,33.817017,2.101407
9030612E09Rik,1.315333,0,2.571362,0
9030624G23Rik,3.571241,0.153966,9.368855,0.161921
9130019P16Rik,0.683697,0.182925,1.228235,0.380169
9130401M01Rik,44.703369,4.920375,42.956139,5.178075
9430038I01Rik,11.888259,0.748088,9.412337,0.80075
9430041J12Rik,2.17943,0,4.648451,0
9430064I24Rik,1.598642,0.568202,3.289058,0.949158
9430091E24Rik,4.741642,0.366945,6.715073,0.705845
9530052E02Rik,0.158466,0,0,0
A130051J06Rik,0.804864,0.086425,1.02682,0
A230072C01Rik,1.291606,0.196537,2.212778,0.662039
A3galt2,0.777853,0,1.030843,0.036827
A430033K04Rik,0.858107,0.22493,2.475442,0.191708
A430057M04Rik,1.781451,1.035698,3.87184,0.650167
A530020G20Rik,0.799126,0.023649,3.098004,0.385333
A730049H05Rik,0.206339,0,0.709843,0
A830052D11Rik,0.218553,0,0.665785,0
A930012O16Rik,1.610749,0.052473,2.956071,0.625347
A930016O22Rik,1.227007,0,0.651642,0.057476
A930037H05Rik,4.568905,3.391407,5.096513,5.34198
AA414768,15.689354,1.02292,30.443642,0.978797
Aaas,128.414398,35.229271,115.644188,40.094101
Aagab,25.79096,8.615156,43.221104,11.284488
Aard,626.160889,14.437813,724.924988,35.514408
Aass,4.112631,0.330292,8.776136,0.543987
Abat,26.914074,1.651592,79.667488,6.131266
Abca2,19.944036,1.128277,45.534176,3.560862
Abca3,10.301944,0.698841,28.913387,2.951589
Abca6,0.846195,0.14881,4.726342,0.319857
Abca7,4.976577,1.042772,9.440815,1.590676
Abca8a,4.91032,0.666361,5.584876,1.053171
Abcb7,4.476991,0.125539,6.584295,0.6426
Abcc1,31.65398,3.175728,82.382538,8.288984
Abcc4,3.445192,0.235285,7.453304,0.966708
Abcc5,15.899324,3.472279,33.638,8.363184
Abcc8,4.758883,0.999844,6.607389,0.894821
Abcd2,3.054128,0.127436,7.471178,0.33463
Abcd3,33.302376,1.743496,63.365147,5.559182
Abcd4,3.676328,0.054371,5.967473,0.600777
Abce1,59.698292,21.907209,69.833984,26.538513
Abcg1,2.453419,0.146758,3.581617,0.212708
Abcg4,0.821404,0.02848,1.752072,0.081931
Abhd11os,3.231904,1.038329,2.765417,1.020911
Abhd13,8.770101,3.086036,13.911151,4.086651
Abhd4,183.958878,79.861931,441.809692,128.376938
Abhd6,19.597193,4.771809,44.16275,6.498786
Abi1,46.239914,8.513471,73.302849,11.394031
Abi2,19.9886,5.982438,32.084499,6.819435
Abr,12.284266,1.645411,43.011433,7.143734
Abracl,28.817453,1.819588,27.444897,2.588707
Abt1,23.535662,5.935144,16.799181,6.379317
Abtb2,23.701519,1.497887,44.236897,2.339323
Acaa1b,9.237337,1.624518,11.198051,4.355575
Acaa2,124.667213,8.43302,208.851898,33.793091
Acaca,22.262253,6.602081,55.224247,15.07109
Acacb,3.102681,0.389171,13.842323,0.937603
Acad12,8.188871,1.164789,12.195816,3.168955
Acadl,68.452675,3.426884,110.907677,16.0166
Acadm,52.426247,4.23258,93.995064,14.431495
Acads,34.953831,1.909135,53.820957,6.69995
Acadsb,22.38294,7.987922,48.014713,13.734395
Acan,1.045998,0.030969,2.633505,0.336763
Acat2,42.933548,17.421707,68.914581,23.206333
Acat3,16.889284,11.795987,24.885492,11.272017
Acbd4,10.713086,0.754582,22.646599,1.386865
Accs,1.65117,0.11437,4.166691,0.422594
Acer3,10.58625,1.254529,9.953529,1.641139
Ackr2,0.98584,0.139009,2.811562,0.232704
Ackr3,5.376274,0.34718,9.664147,0.541307
Acly,101.828743,17.30748,217.474045,42.86792
Aco1,19.366274,1.226086,42.890675,4.500176
Acot1,5.149438,0.231087,10.4957,1.456658
Acot11,1.244903,0.195813,3.709983,0.422149
Acot13,31.375895,2.588452,32.863972,5.471911
Acot2,2.965791,0.29717,5.591688,0.7556
Acot6,0.926044,0.053673,2.911626,0.190466
Acox1,33.952221,10.046338,66.289726,15.691137
Acp5,8.92494,0.848066,7.555749,0.585658
Acp6,31.805351,9.370955,46.248817,12.414899
Acp7,15.986149,0.413517,36.456963,0.894555
Acsbg1,282.997772,12.915779,735.562927,98.591537
Acsf2,16.365683,3.809351,48.666313,8.805961
Acsl4,18.977608,0.704296,36.331161,2.834042
Acsm5,0.48189,0,1.641686,0.129807
Acss1,19.610802,1.03097,47.777241,2.706764
Acss3,1.744034,0.046523,7.496848,0.614616
Acta2,45.079353,1.34298,12.427892,2.292071
Actb,697.86731,264.448456,852.166931,291.348267
Actn1,7.086489,1.135493,7.775591,1.383435
Actn2,4.741973,0.948574,5.731843,0.811374
Actn3,10.294467,2.014469,25.577261,3.1709
Actn4,52.364838,12.198236,74.750046,20.811472
Actr2,32.218189,8.643264,43.4221,9.951201
Actr3,98.207603,24.517603,108.547256,22.088732
Actr3b,8.983709,0.912722,11.676052,2.109803
Acvr1,10.366633,0.596279,23.809698,3.838827
Acvr2b,8.920257,1.927776,18.049528,2.220527
