"","X","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","WT_rep1","WT_rep2","KO_rep1","KO_rep3","chrom","type","symbol"
"23",23,"ENSMUSG00000000154.17",14.816023193283,-3.42056273773587,1.15227121007372,-2.96853961795769,0.00299218527140086,0.0257305043695389,14.5431982111271,39.6654894445105,3.00660796949586,2.04879714799863,"chr7","protein_coding","Slc22a18"
"26",26,"ENSMUSG00000000167.15",270.786648161235,-1.03449620609043,0.264055091287549,-3.91772868701816,8.9387231286101e-05,0.00125951339682658,302.498522791443,425.412374292375,195.429518017231,159.806177543893,"chr9","protein_coding","Pih1d2"
"27",27,"ENSMUSG00000000168.11",2353.52123791124,-0.870467740588975,0.105321137681187,-8.26489116765834,1.39822245441549e-16,1.55448533750786e-14,2962.93424888029,3122.66565651909,1701.74011073466,1626.74493551091,"chr9","protein_coding","Dlat"
"60",60,"ENSMUSG00000000365.10",3491.92721948764,-0.831401558636186,0.109255928251486,-7.60966999175059,2.74796663719105e-14,2.24203052165015e-12,4180.68471242533,4761.84200781348,2659.84585034734,2365.33630736441,"chr14","protein_coding","Rnf17"
"127",127,"ENSMUSG00000000811.15",2947.54574170762,-0.992224470312778,0.119945706529936,-8.27228000916514,1.31421206094987e-16,1.47732038006999e-14,3510.72804816608,4335.437996285,2031.4647847227,1912.55213765672,"chr6","protein_coding","Txnrd3"
"142",142,"ENSMUSG00000000915.16",715.948246537325,-0.685259294304922,0.166424402146468,-4.11754097035503,3.8293646808073e-05,0.00059419758398355,796.967261969764,968.829579682168,562.235690295726,535.760454201641,"chr5","protein_coding","Hip1r"
"146",146,"ENSMUSG00000000942.11",122.538510244654,-2.53840592585473,0.416434952857761,-6.09556404532105,1.09052239767055e-09,4.42196997885088e-08,143.492889016454,274.683514403235,34.0748903209531,37.9027472379746,"chr6","protein_coding","Hoxa4"
"161",161,"ENSMUSG00000001039.13",673.130129094104,-0.77279195987009,0.198838116792213,-3.88653831738741,0.000101683882353793,0.0014047310625789,700.012607228916,998.578696765551,543.193839822252,450.735372559698,"chr11","protein_coding","B9d1"
"176",176,"ENSMUSG00000001120.16",1560.6236815608,-1.07602117673814,0.16643989718116,-6.46492334447279,1.01350172920207e-10,4.85952464186604e-09,1740.33605259821,2493.9676488236,1093.40309823999,914.787926581386,"chr10","protein_coding","Pcbp3"
"188",188,"ENSMUSG00000001157.14",2769.11535805603,-1.20284970218842,0.142677252471948,-8.43056395710254,3.44003310014888e-17,4.2185230150553e-15,3252.82866655542,4469.30902316022,1783.92072856754,1570.40301394095,"chr6","protein_coding","Gmcl1"
