Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,WT_rep1,WT_rep2,KO_rep1,KO_rep3,chrom,type,symbol
ENSMUSG00000000154.17,14.81602319,-3.420562738,1.15227121,-2.968539618,0.002992185,0.025730504,14.54319821,39.66548944,3.006607969,2.048797148,chr7,protein_coding,Slc22a18
ENSMUSG00000000167.15,270.7866482,-1.034496206,0.264055091,-3.917728687,8.94E-05,0.001259513,302.4985228,425.4123743,195.429518,159.8061775,chr9,protein_coding,Pih1d2
ENSMUSG00000000168.11,2353.521238,-0.870467741,0.105321138,-8.264891168,1.40E-16,1.55E-14,2962.934249,3122.665657,1701.740111,1626.744936,chr9,protein_coding,Dlat
ENSMUSG00000000365.10,3491.927219,-0.831401559,0.109255928,-7.609669992,2.75E-14,2.24E-12,4180.684712,4761.842008,2659.84585,2365.336307,chr14,protein_coding,Rnf17
ENSMUSG00000000811.15,2947.545742,-0.99222447,0.119945707,-8.272280009,1.31E-16,1.48E-14,3510.728048,4335.437996,2031.464785,1912.552138,chr6,protein_coding,Txnrd3
ENSMUSG00000000915.16,715.9482465,-0.685259294,0.166424402,-4.11754097,3.83E-05,0.000594198,796.967262,968.8295797,562.2356903,535.7604542,chr5,protein_coding,Hip1r
ENSMUSG00000000942.11,122.5385102,-2.538405926,0.416434953,-6.095564045,1.09E-09,4.42E-08,143.492889,274.6835144,34.07489032,37.90274724,chr6,protein_coding,Hoxa4
ENSMUSG00000001039.13,673.1301291,-0.77279196,0.198838117,-3.886538317,0.000101684,0.001404731,700.0126072,998.5786968,543.1938398,450.7353726,chr11,protein_coding,B9d1
ENSMUSG00000001120.16,1560.623682,-1.076021177,0.166439897,-6.464923344,1.01E-10,4.86E-09,1740.336053,2493.967649,1093.403098,914.7879266,chr10,protein_coding,Pcbp3
ENSMUSG00000001157.14,2769.115358,-1.202849702,0.142677252,-8.430563957,3.44E-17,4.22E-15,3252.828667,4469.309023,1783.920729,1570.403014,chr6,protein_coding,Gmcl1
ENSMUSG00000001175.17,12801.62041,-0.614810502,0.092031856,-6.680409655,2.38E-11,1.26E-09,14444.30446,16533.56764,10461.99353,9766.616005,chr12,protein_coding,Calm1
ENSMUSG00000001508.16,65.79945557,-1.801463644,0.512404697,-3.515704783,0.000438588,0.005019455,74.65508415,129.9044779,35.07709298,23.5611672,chr11,protein_coding,Sgca
ENSMUSG00000001665.12,124.1316019,-1.124137016,0.389612484,-2.885269494,0.003910787,0.032023824,119.2542253,221.1351037,73.16079392,82.97628449,chr10,protein_coding,Gstt3
ENSMUSG00000001948.11,972.8047581,-1.125076954,0.191086933,-5.887775458,3.91E-09,1.45E-07,1101.404878,1566.786833,698.5352516,524.4920699,chr9,protein_coding,Spa17
ENSMUSG00000002031.14,1180.820398,-0.872213798,0.151550099,-5.755283596,8.65E-09,2.98E-07,1331.18741,1723.465516,837.8414208,830.7872435,chr9,protein_coding,Ift46
